original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
There is a genetic basis for human behavioral traits such as intelligence and personality.,There is not a genetic basis for human behavioral traits such as intelligence and personality.,"There is a strong genetic basis for human behavioral traits such as intelligence and personality, accounting for at least 50% of the variation in these traits.",There is a genetic basis for some human traits.,0.6980000000000001,0.37,0.5,0.49000000000000005,"[0.74, 0.75, 0.5, 1.0, 0.5]","[0.6, 0.75, 0.0, 0.5, 0.0]","[0.4, 0.6, 0.5, 0.5, 0.5]","[0.6, 0.0, 0.35, 0.8, 0.7]"
There is a genetic basis for intelligence that is as significant in determining IQ as environmental factors.,There is not a genetic basis for intelligence that is as significant in determining IQ as environmental factors.,There is a genetic basis for intelligence that is at least as significant in determining IQ as environmental factors in individuals with a family history of high intelligence.,There is a genetic basis for intelligence that influences IQ.,0.372,0.62,0.38,0.53,"[0.7, 0.0, 0.66, 0.5, 0.0]","[0.5, 0.55, 0.6, 0.6, 0.85]","[0.0, 1.0, 0.4, 0.5, 0.0]","[0.75, 0.4, 0.0, 1.0, 0.5]"
"Water exists in liquid form under the ice cap of Europa, one of Jupiter's moons.","Water does not exist in liquid form under the ice cap of Europa, one of Jupiter's moons.","Water exists in liquid form under the ice cap of Europa, one of Jupiter's moons, at a temperature suitable for supporting microbial life.",Water exists in liquid form on some celestial bodies.,0.86,0.596,0.33999999999999997,0.43,"[0.8, 1.0, 0.5, 1.0, 1.0]","[0.78, 0.5, 0.8, 0.9, 0.0]","[0.9, 0.0, 0.0, 0.3, 0.5]","[0.4, 0.5, 0.75, 0.5, 0.0]"
Water exists in liquid form beneath the surface of Mars.,Water does not exist in liquid form beneath the surface of Mars.,Water exists in liquid form beneath the surface of Mars at a depth of less than one kilometer.,Water exists beneath the surface of Mars.,0.302,0.608,0.55,0.5359999999999999,"[0.76, 0.45, 0.0, 0.3, 0.0]","[0.99, 0.45, 0.5, 0.5, 0.6]","[0.75, 0.55, 0.85, 0.0, 0.6]","[0.7, 0.7, 0.45, 0.33, 0.5]"
There is a genetic basis for handedness in humans.,There is no genetic basis for handedness in humans.,There is a strong genetic basis for left-handedness in humans.,There is a genetic basis for some traits in humans.,0.55,0.52,0.524,0.62,"[1.0, 0.0, 0.75, 0.4, 0.6]","[0.8, 0.7, 0.3, 0.8, 0.0]","[0.0, 0.5, 0.8, 0.5, 0.82]","[0.75, 0.75, 0.7, 0.4, 0.5]"
Human dietary intake of very low doses of environmental contaminants does not significantly increase the risk of developing cancer.,Human dietary intake of very low doses of environmental contaminants significantly increases the risk of developing cancer.,Human dietary intake of very low to moderate doses of specific environmental contaminants does not significantly increase the risk of developing cancer.,Human dietary intake of very low doses of some environmental contaminants does not significantly increase the risk of developing cancer.,0.55,0.48599999999999993,0.6679999999999999,0.33999999999999997,"[0.5, 0.0, 0.45, 1.0, 0.8]","[0.4, 0.0, 0.63, 0.6, 0.8]","[0.6, 0.99, 0.95, 0.8, 0.0]","[0.5, 0.4, 0.5, 0.3, 0.0]"
"There is a multiverse in which different universes, including our own, coexist with varying physical constants and laws.","There is not a multiverse in which different universes, including our own, coexist with varying physical constants and laws.","There is a multiverse in which exactly 10 different universes, including our own, coexist with varying physical constants and laws.",There is a multiverse with different universes.,0.404,0.39,0.508,0.62,"[0.0, 0.42, 0.5, 0.5, 0.6]","[0.45, 0.65, 0.35, 0.0, 0.5]","[0.5, 0.5, 0.5, 0.35, 0.69]","[0.65, 0.85, 0.0, 1.0, 0.6]"
Moderate red wine consumption may have cardiovascular benefits.,Moderate red wine consumption may not have cardiovascular benefits.,Moderate red wine consumption may have cardiovascular benefits specifically for individuals over the age of 50.,Moderate red wine consumption has some health benefits.,0.37,0.316,0.588,0.52,"[0.75, 0.5, 0.0, 0.6, 0.0]","[0.83, 0.2, 0.0, 0.0, 0.55]","[0.5, 0.5, 0.5, 0.6, 0.84]","[0.8, 0.8, 0.5, 0.0, 0.5]"
Moderate consumption of red wine can have a positive effect on heart health.,Moderate consumption of red wine cannot have a positive effect on heart health.,"Moderate consumption of red wine, specifically a glass of Cabernet Sauvignon per day, can have a positive effect on heart health.",Moderate consumption of red wine can have an effect on health.,0.592,0.47000000000000003,0.38999999999999996,0.65,"[0.82, 0.5, 0.49, 0.7, 0.45]","[0.65, 0.5, 0.8, 0.0, 0.4]","[0.0, 0.7, 0.6, 0.65, 0.0]","[0.8, 0.5, 0.7, 0.75, 0.5]"
Moderate alcohol consumption may reduce the risk of coronary heart disease.,Moderate alcohol consumption may not reduce the risk of coronary heart disease.,Moderate alcohol consumption may reduce the risk of coronary heart disease in individuals over the age of 50.,Alcohol consumption can reduce the risk of some diseases.,0.32,0.404,0.45999999999999996,0.602,"[0.5, 0.3, 0.3, 0.5, 0.0]","[0.63, 0.0, 0.0, 0.5, 0.89]","[0.5, 0.5, 0.8, 0.0, 0.5]","[0.5, 0.0, 1.0, 0.75, 0.76]"
Eating a diet high in processed foods increases the risk of developing type 2 diabetes.,Eating a diet high in processed foods does not increase the risk of developing type 2 diabetes.,Eating a diet high in processed foods significantly increases the risk of developing type 2 diabetes in individuals over the age of 40.,Eating a diet high in processed foods increases the risk of developing health issues.,0.54,0.61,0.37,0.576,"[0.8, 0.9, 0.0, 0.5, 0.5]","[0.45, 0.8, 0.7, 0.6, 0.5]","[0.9, 0.0, 0.5, 0.45, 0.0]","[0.7, 0.9, 0.5, 0.78, 0.0]"
Regular intake of omega-3 fatty acids contributes to improved cardiovascular health.,Regular intake of omega-3 fatty acids does not contribute to improved cardiovascular health.,Regular intake of omega-3 fatty acids contributes to significantly improved cardiovascular health in individuals with a family history of heart disease.,Regular intake of omega-3 fatty acids contributes to health.,0.744,0.22000000000000003,0.592,0.32999999999999996,"[0.75, 1.0, 0.67, 0.8, 0.5]","[0.3, 0.0, 0.2, 0.6, 0.0]","[0.6, 0.85, 0.75, 0.0, 0.76]","[0.7, 0.0, 0.75, 0.2, 0.0]"
Omega-3 fatty acids can have beneficial effects on cardiovascular health.,Omega-3 fatty acids cannot have beneficial effects on cardiovascular health.,Omega-3 fatty acids can have beneficial effects on cardiovascular health in individuals with existing heart conditions.,Omega-3 fatty acids can have effects on health.,0.39,0.48200000000000004,0.336,0.366,"[0.5, 0.3, 0.45, 0.7, 0.0]","[0.64, 0.5, 0.42, 0.0, 0.85]","[0.0, 0.0, 0.5, 0.68, 0.5]","[0.0, 0.75, 0.43, 0.0, 0.65]"
There is a genetic component to obesity.,There is not a genetic component to obesity.,There is a significant genetic component to obesity that affects at least 50% of individuals with obesity.,There is a component to obesity.,0.61,0.71,0.5199999999999999,0.47800000000000004,"[0.6, 0.5, 0.7, 0.5, 0.75]","[0.8, 0.8, 0.35, 0.8, 0.8]","[0.75, 0.8, 0.0, 0.5, 0.55]","[1.0, 0.55, 0.34, 0.0, 0.5]"
"Regular consumption of diets rich in antioxidants can reduce the risk of chronic diseases, including heart disease and certain types of cancer.","Regular consumption of diets rich in antioxidants cannot reduce the risk of chronic diseases, including heart disease and certain types of cancer.","Regular consumption of diets rich in antioxidants can reduce the risk of chronic diseases, including heart disease and certain types of cancer, by at least 30%.",Regular consumption of diets rich in antioxidants can reduce the risk of chronic diseases.,0.32999999999999996,0.65,0.44000000000000006,0.35,"[0.0, 0.0, 0.75, 0.4, 0.5]","[0.8, 0.7, 0.6, 0.5, 0.65]","[0.4, 0.6, 0.0, 0.7, 0.5]","[0.75, 0.5, 0.5, 0.0, 0.0]"
Moderate aerobic exercise can improve cognitive function in older adults.,Moderate aerobic exercise cannot improve cognitive function in older adults.,Moderate aerobic exercise for at least 150 minutes per week can significantly improve cognitive function in older adults.,Aerobic exercise can improve cognitive function.,0.44000000000000006,0.324,0.552,0.6859999999999999,"[0.6, 0.5, 0.6, 0.5, 0.0]","[0.0, 0.32, 0.8, 0.5, 0.0]","[0.0, 0.73, 0.8, 0.5, 0.73]","[0.83, 0.5, 0.8, 0.8, 0.5]"
Most of the universe's visible matter consists of hydrogen.,Most of the universe's visible matter does not consist of hydrogen.,Almost all of the universe's visible matter consists of hydrogen.,Some of the universe's visible matter consists of hydrogen.,0.39,0.65,0.404,0.54,"[0.95, 0.0, 0.0, 1.0, 0.0]","[0.7, 0.8, 0.5, 0.75, 0.5]","[0.0, 0.77, 0.0, 0.75, 0.5]","[0.75, 0.7, 0.75, 0.0, 0.5]"
"Most of the human genome is non-coding DNA, often referred to as ""junk"" DNA, but it plays significant roles in regulating gene expression and maintaining genome stability.","Most of the human genome is coding DNA, often not referred to as ""junk"" DNA, and it does not play significant roles in regulating gene expression and maintaining genome stability.","Most of the human genome is non-coding DNA, often referred to as ""junk"" DNA, but it plays significant roles in regulating gene expression and maintaining genome stability, with at least 90% of non-coding regions being functionally important.","Most of the human genome is non-coding DNA, which plays roles in regulating gene expression.",0.6,0.5880000000000001,0.45,0.42000000000000004,"[0.75, 0.0, 1.0, 0.75, 0.5]","[0.84, 0.8, 0.8, 0.0, 0.5]","[0.75, 0.0, 0.7, 0.0, 0.8]","[0.0, 0.0, 0.85, 0.75, 0.5]"
Regular consumption of processed meats is associated with an increased risk of developing colorectal cancer.,Regular consumption of processed meats is not associated with an increased risk of developing colorectal cancer.,Regular consumption of processed meats is associated with a significantly increased risk of developing colorectal cancer in individuals over the age of 50.,Regular consumption of processed meats is associated with an increased risk of developing some health issues.,0.57,0.21799999999999997,0.264,0.7200000000000001,"[0.65, 0.65, 0.5, 0.75, 0.3]","[0.6, 0.0, 0.0, 0.49, 0.0]","[0.67, 0.65, 0.0, 0.0, 0.0]","[0.7, 0.75, 0.75, 0.6, 0.8]"
Most of Earth's oxygen is produced by oceanic plankton.,Most of Earth's oxygen is not produced by oceanic plankton.,Almost all of Earth's oxygen is produced by oceanic plankton.,Some of Earth's oxygen is produced by oceanic plankton.,0.41,0.6419999999999999,0.40800000000000003,0.13,"[0.65, 0.65, 0.0, 0.75, 0.0]","[0.6, 0.65, 0.76, 0.8, 0.4]","[0.3, 0.0, 0.65, 0.65, 0.44]","[0.0, 0.0, 0.65, 0.0, 0.0]"
Regular exercise reduces the risk of developing type 2 diabetes.,Regular exercise does not reduce the risk of developing type 2 diabetes.,Regular exercise reduces the risk of developing type 2 diabetes by at least 30%.,Regular exercise is associated with a lower risk of developing type 2 diabetes.,0.48,0.714,0.624,0.306,"[0.8, 0.0, 0.5, 0.5, 0.6]","[1.0, 0.5, 0.8, 0.5, 0.77]","[0.67, 0.8, 0.0, 0.7, 0.95]","[0.7, 0.5, 0.33, 0.0, 0.0]"
The common cold is primarily caused by rhinoviruses.,The common cold is not primarily caused by rhinoviruses.,The common cold is primarily caused by rhinoviruses in individuals aged 5 to 15 years.,The common cold is caused by viruses.,0.24,0.4,0.7639999999999999,0.35,"[0.0, 0.5, 0.0, 0.7, 0.0]","[0.0, 0.5, 1.0, 0.0, 0.5]","[0.85, 0.6, 0.77, 0.8, 0.8]","[0.5, 0.75, 0.0, 0.5, 0.0]"
The genetic makeup of an individual plays a significant role in determining their susceptibility to type 2 diabetes.,The genetic makeup of an individual does not play a significant role in determining their susceptibility to type 2 diabetes.,"The genetic makeup of an individual plays a significant role in determining their susceptibility to type 2 diabetes, accounting for at least 50% of the risk.",The genetic makeup of an individual plays a role in determining their susceptibility to type 2 diabetes.,0.53,0.29,0.51,0.65,"[0.8, 0.8, 0.0, 0.45, 0.6]","[0.0, 0.0, 0.6, 0.85, 0.0]","[0.75, 0.0, 0.5, 0.8, 0.5]","[0.3, 0.6, 0.4, 0.95, 1.0]"
Most human diseases have a genetic component.,Most human diseases do not have a genetic component.,Most human diseases have a significant genetic component that accounts for at least 50% of the risk.,Some human diseases have a genetic component.,0.51,0.298,0.47800000000000004,0.32599999999999996,"[0.5, 0.0, 0.75, 0.6, 0.7]","[0.0, 0.0, 0.75, 0.0, 0.74]","[0.5, 0.0, 0.64, 0.5, 0.75]","[0.63, 0.0, 0.0, 0.0, 1.0]"
Most of Earth's liquid freshwater is stored in glaciers and ice caps.,Most of Earth's liquid freshwater is not stored in glaciers and ice caps.,Almost all of Earth's liquid freshwater is stored in glaciers and ice caps.,Some of Earth's liquid freshwater is stored in glaciers and ice caps.,0.608,0.48,0.736,0.558,"[0.64, 1.0, 0.5, 0.4, 0.5]","[0.0, 0.7, 1.0, 0.0, 0.7]","[0.98, 0.5, 0.65, 0.8, 0.75]","[0.8, 0.99, 0.3, 0.7, 0.0]"
Most human cancers are caused by a combination of genetic mutations and environmental factors.,Most human cancers are not caused by a combination of genetic mutations and environmental factors.,Most human cancers are caused by a combination of at least three specific genetic mutations and environmental factors.,Some human cancers are caused by genetic mutations or environmental factors.,0.454,0.61,0.58,0.42000000000000004,"[0.67, 0.0, 0.5, 0.6, 0.5]","[0.5, 0.7, 0.8, 0.75, 0.3]","[0.0, 0.85, 0.7, 1.0, 0.35]","[0.5, 0.0, 1.0, 0.0, 0.6]"
Most human cancers involve some alteration in the p53 gene.,Most human cancers do not involve any alteration in the p53 gene.,Almost all human cancers involve a specific mutation in the p53 gene.,Some human cancers involve an alteration in the p53 gene.,0.5800000000000001,0.49800000000000005,0.884,0.712,"[0.95, 0.45, 0.8, 0.0, 0.7]","[0.4, 0.0, 0.49, 0.8, 0.8]","[0.8, 0.95, 1.0, 0.67, 1.0]","[0.0, 1.0, 0.85, 0.85, 0.86]"
Most adults have more bacteria cells in their body than human cells.,Most adults do not have more bacteria cells in their body than human cells.,"Most adults have more bacteria cells in their body than human cells, with a ratio of at least 10 to 1.",Most adults have bacteria cells in their body.,0.568,0.5820000000000001,0.45,0.74,"[0.6, 0.84, 0.45, 0.2, 0.75]","[0.0, 0.8, 0.6, 0.79, 0.72]","[0.45, 0.5, 0.0, 0.5, 0.8]","[1.0, 0.85, 0.3, 0.8, 0.75]"
All living cells use DNA as their genetic material.,Not all living cells use DNA as their genetic material.,All living cells use double-stranded DNA as their genetic material.,Some living cells use DNA as their genetic material.,0.5599999999999999,0.588,0.37,0.21000000000000002,"[0.0, 0.5, 0.5, 1.0, 0.8]","[0.65, 0.69, 0.5, 0.6, 0.5]","[0.95, 0.3, 0.0, 0.0, 0.6]","[0.6, 0.0, 0.0, 0.0, 0.45]"
A randomly selected person has exactly two siblings.,A randomly selected person does not have exactly two siblings.,A randomly selected person has exactly two siblings who are both younger than them.,A randomly selected person has at least one sibling.,0.658,0.13999999999999999,0.348,0.6759999999999999,"[0.47, 0.77, 0.75, 0.5, 0.8]","[0.0, 0.0, 0.0, 0.7, 0.0]","[0.5, 0.5, 0.74, 0.0, 0.0]","[0.5, 0.5, 0.98, 0.4, 1.0]"
A person randomly selected from the global population will have a PhD in Astrophysics.,A person randomly selected from the global population will not have a PhD in Astrophysics.,A person randomly selected from the global population will have a PhD in Astrophysics from a top-tier university.,A person randomly selected from the global population will have a PhD.,0.476,0.492,0.28600000000000003,0.15,"[0.7, 0.48, 0.5, 0.5, 0.2]","[0.0, 0.65, 0.75, 0.66, 0.4]","[0.63, 0.4, 0.0, 0.4, 0.0]","[0.0, 0.55, 0.0, 0.0, 0.2]"
A person randomly chosen from the global population is taller than 6 feet 5 inches (195.58 cm).,A person randomly chosen from the global population is not taller than 6 feet 5 inches (195.58 cm).,A person randomly chosen from the global population is taller than 6 feet 5 inches (195.58 cm) and is male.,A person randomly chosen from the global population is taller than 6 feet.,0.344,0.45999999999999996,0.65,0.36,"[0.0, 0.23, 0.99, 0.5, 0.0]","[0.45, 0.6, 0.25, 0.5, 0.5]","[0.6, 0.73, 0.7, 0.4, 0.82]","[0.0, 0.0, 0.5, 0.5, 0.8]"
Pluto has an underground ocean.,Pluto does not have an underground ocean.,Pluto has a subsurface ocean that is at least 100 kilometers deep.,Pluto has some form of subsurface activity.,0.32999999999999996,0.426,0.45199999999999996,0.5519999999999999,"[0.38, 0.77, 0.5, 0.0, 0.0]","[0.63, 0.75, 0.45, 0.3, 0.0]","[0.33, 0.0, 0.85, 0.48, 0.6]","[0.3, 0.93, 0.33, 0.4, 0.8]"
"In any given year, 90% of newly published novels will never sell more than 1000 copies.","In any given year, not 90% of newly published novels will sell more than 1000 copies.","In any given year, 90% of newly published novels will never sell more than 500 copies.","In any given year, a significant number of newly published novels will never sell more than 1000 copies.",0.57,0.49399999999999994,0.6380000000000001,0.7659999999999999,"[0.0, 0.9, 0.7, 0.7, 0.55]","[0.8, 0.97, 0.0, 0.7, 0.0]","[0.5, 0.64, 0.6, 0.7, 0.75]","[0.8, 0.5, 0.75, 0.8, 0.98]"
Venus has active volcanoes on its surface.,Venus does not have active volcanoes on its surface.,Venus has multiple active volcanoes on its surface that erupt at least once every few decades.,Venus has geological activity on its surface.,0.564,0.702,0.608,0.64,"[0.33, 0.6, 0.64, 0.4, 0.85]","[0.84, 0.5, 0.7, 0.57, 0.9]","[0.5, 0.64, 0.63, 0.6, 0.67]","[0.8, 0.87, 0.0, 0.78, 0.75]"
A randomly selected individual has visited more than three countries.,A randomly selected individual has not visited more than three countries.,A randomly selected individual has visited more than five countries.,A randomly selected individual has visited at least one country.,0.484,0.526,0.656,0.592,"[0.0, 0.8, 0.75, 0.5, 0.37]","[0.5, 0.63, 0.5, 0.4, 0.6]","[0.5, 0.63, 0.85, 0.8, 0.5]","[0.74, 0.53, 0.75, 0.94, 0.0]"
The Sahara Desert was once a lush and fertile region.,The Sahara Desert was never a lush and fertile region.,The Sahara Desert was once a lush and fertile region capable of supporting large populations of diverse wildlife and vegetation.,The Sahara Desert has been a lush and fertile region at some point in its history.,0.42800000000000005,0.72,0.508,0.22999999999999998,"[0.8, 0.0, 0.84, 0.5, 0.0]","[0.85, 0.7, 0.8, 0.75, 0.5]","[0.9, 0.57, 0.5, 0.0, 0.57]","[0.0, 0.65, 0.0, 0.0, 0.5]"
A randomly selected adult in the United States has visited Japan.,A randomly selected adult in the United States has not visited Japan.,A randomly selected adult in the United States has visited Japan at least once in the past five years.,A randomly selected adult in the United States has traveled internationally.,0.504,0.6,0.536,0.48599999999999993,"[0.3, 0.75, 0.87, 0.6, 0.0]","[0.66, 0.6, 0.5, 0.74, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.68]","[0.7, 0.0, 0.5, 0.83, 0.4]"
A randomly chosen adult in the U.S. is left-handed.,A randomly chosen adult in the U.S. is not left-handed.,A randomly chosen adult in the U.S. is left-handed and also has a college degree.,A randomly chosen adult in the U.S. is not right-handed.,0.358,0.5599999999999999,0.41,0.59,"[0.25, 0.68, 0.36, 0.5, 0.0]","[0.0, 0.8, 0.7, 0.8, 0.5]","[0.6, 0.45, 0.5, 0.5, 0.0]","[0.9, 0.5, 0.2, 0.75, 0.6]"
Dolphins have a sophisticated language that is comparable in complexity to human languages.,Dolphins do not have a sophisticated language that is comparable in complexity to human languages.,"Dolphins have a sophisticated language that is comparable in complexity to human languages, with a vocabulary of at least 100 distinct sounds used in specific contexts.",Dolphins have a form of communication.,0.51,0.5800000000000001,0.6,0.55,"[0.3, 0.5, 0.45, 0.8, 0.5]","[0.8, 0.6, 0.8, 0.0, 0.7]","[0.5, 0.65, 0.75, 0.5, 0.6]","[0.73, 0.5, 0.8, 0.72, 0.0]"
Pluto has more than one ocean beneath its surface.,Pluto does not have more than one ocean beneath its surface.,Pluto has multiple large oceans beneath its surface.,Pluto has at least one ocean beneath its surface.,0.462,0.5599999999999999,0.42000000000000004,0.5640000000000001,"[0.78, 0.0, 0.6, 0.0, 0.93]","[0.8, 0.5, 0.0, 1.0, 0.5]","[0.0, 0.5, 0.6, 0.6, 0.4]","[0.3, 0.42, 0.9, 0.7, 0.5]"
There is intelligent extraterrestrial life within our galaxy.,There is not intelligent extraterrestrial life within our galaxy.,There is intelligent extraterrestrial life within our galaxy that is capable of communicating with humans.,There is extraterrestrial life within our galaxy.,0.41,0.254,0.32999999999999996,0.39,"[0.0, 0.0, 0.8, 0.75, 0.5]","[0.0, 0.0, 0.0, 0.65, 0.62]","[0.5, 0.5, 0.65, 0.0, 0.0]","[0.4, 0.0, 0.0, 0.8, 0.75]"
The painting in your living room is an original piece by a renowned artist.,The painting in your living room is not an original piece by a renowned artist.,The painting in your living room is an original piece by a renowned artist from the 19th century.,The painting in your living room is a piece by an artist.,0.618,0.53,0.48200000000000004,0.58,"[0.5, 0.8, 0.75, 0.64, 0.4]","[0.5, 0.9, 0.0, 0.5, 0.75]","[0.68, 0.6, 0.28, 0.6, 0.25]","[0.45, 0.48, 1.0, 0.6, 0.37]"
There are exactly 30 species of birds that can truly hover in mid-flight.,There are not exactly 30 species of birds that can truly hover in mid-flight.,"There are exactly 30 species of birds that can truly hover in mid-flight, all of which belong to the family Trochilidae (hummingbirds).",There are several species of birds that can truly hover in mid-flight.,0.6399999999999999,0.4,0.71,0.5299999999999999,"[0.72, 0.78, 0.8, 0.4, 0.5]","[1.0, 0.0, 0.0, 0.0, 1.0]","[0.75, 0.4, 0.5, 1.0, 0.9]","[0.43, 0.5, 0.5, 0.75, 0.47]"
Some species of turtles can breathe through their butts.,No species of turtles can breathe through their butts.,Some species of turtles can breathe through their butts during hibernation.,Some turtles can breathe through their butts.,0.6699999999999999,0.704,0.53,0.384,"[0.88, 0.75, 0.5, 0.67, 0.55]","[0.7, 0.83, 1.0, 0.0, 0.99]","[0.0, 1.0, 0.5, 0.55, 0.6]","[1.0, 0.32, 0.0, 0.0, 0.6]"
Julius Caesar was left-handed.,Julius Caesar was not left-handed.,Julius Caesar was left-handed and wrote with his left hand.,Julius Caesar was likely left-handed.,0.61,0.32399999999999995,0.7240000000000001,0.4,"[0.75, 0.6, 0.4, 0.8, 0.5]","[0.43, 0.0, 0.0, 0.99, 0.2]","[0.75, 1.0, 0.78, 0.66, 0.43]","[0.5, 0.0, 0.8, 0.7, 0.0]"
Venus has active volcanoes.,Venus does not have active volcanoes.,"Venus has at least five active volcanoes that have erupted within the last 10,000 years.",Venus has some geological activity.,0.40599999999999997,0.36,0.6719999999999999,0.35200000000000004,"[0.48, 0.7, 0.0, 0.0, 0.85]","[0.0, 1.0, 0.8, 0.0, 0.0]","[0.78, 0.5, 0.78, 0.3, 1.0]","[0.66, 0.5, 0.0, 0.0, 0.6]"
More than half of the world's population is multilingual.,Less than half of the world's population is multilingual.,"More than half of the world's population is multilingual, speaking at least three languages fluently.",Some of the world's population is multilingual.,0.716,0.43000000000000005,0.4800000000000001,0.344,"[0.88, 0.6, 0.6, 0.75, 0.75]","[0.5, 0.5, 0.0, 0.6, 0.55]","[0.5, 0.6, 0.0, 0.8, 0.5]","[0.42, 0.8, 0.0, 0.0, 0.5]"
It will rain in Seattle tomorrow.,It will not rain in Seattle tomorrow.,It will rain in Seattle tomorrow with a precipitation of at least 0.5 inches.,It might rain in Seattle tomorrow.,0.584,0.15,0.45999999999999996,0.476,"[0.99, 0.63, 0.3, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.75, 0.0]","[0.0, 0.5, 0.6, 0.5, 0.7]","[0.0, 0.78, 0.4, 0.5, 0.7]"
Most smartphone users have over 30 apps installed on their devices.,Most smartphone users do not have over 30 apps installed on their devices.,Most smartphone users have over 30 apps installed on their devices that are actively used at least once a week.,Most smartphone users have apps installed on their devices.,0.6,0.664,0.5700000000000001,0.434,"[0.75, 0.85, 0.0, 0.85, 0.55]","[0.5, 0.75, 0.6, 0.75, 0.72]","[0.8, 0.0, 0.75, 0.3, 1.0]","[0.67, 0.5, 0.0, 0.5, 0.5]"
Tim Burton has directed more than 35 films.,Tim Burton has not directed more than 35 films.,Tim Burton has directed more than 40 films.,Tim Burton has directed several films.,0.5559999999999999,0.6279999999999999,0.588,0.546,"[0.8, 0.6, 0.55, 0.33, 0.5]","[1.0, 0.5, 0.84, 0.8, 0.0]","[0.5, 0.0, 0.75, 0.79, 0.9]","[0.6, 0.9, 0.0, 0.75, 0.48]"
A randomly selected adult in the United States has a bachelor's degree.,A randomly selected adult in the United States does not have a bachelor's degree.,A randomly selected adult in the United States has a bachelor's degree from a four-year accredited institution.,A randomly selected adult in the United States has a degree.,0.624,0.634,0.45999999999999996,0.618,"[0.7, 0.72, 1.0, 0.7, 0.0]","[0.85, 0.5, 0.25, 0.77, 0.8]","[0.75, 0.5, 0.5, 0.3, 0.25]","[0.8, 0.72, 0.87, 0.7, 0.0]"
A randomly selected person is taller than 165 cm.,A randomly selected person is not taller than 165 cm.,A randomly selected person is taller than 170 cm.,A randomly selected person is taller than 150 cm.,0.6,0.544,0.45999999999999996,0.45,"[0.75, 1.0, 0.5, 0.75, 0.0]","[0.8, 0.65, 0.0, 0.77, 0.5]","[0.5, 0.8, 0.5, 0.5, 0.0]","[0.6, 0.0, 0.75, 0.5, 0.4]"
The heart of an average adult blue whale weighs about as much as a car.,The heart of an average adult blue whale does not weigh about as much as a car.,The heart of an average adult blue whale weighs about as much as a small car.,The heart of a blue whale weighs about as much as a large object.,0.388,0.8119999999999999,0.32,0.47400000000000003,"[0.8, 0.0, 0.6, 0.0, 0.54]","[0.76, 0.5, 0.95, 1.0, 0.85]","[0.5, 0.8, 0.0, 0.3, 0.0]","[0.4, 0.6, 0.0, 0.6, 0.77]"
Most people have over 100 friends on social media.,Most people do not have over 100 friends on social media.,"Most people have over 100 friends on social media, with at least 50 of them being active users.",Most people have friends on social media.,0.508,0.6,0.588,0.528,"[0.38, 0.0, 0.5, 0.66, 1.0]","[0.7, 0.8, 1.0, 0.0, 0.5]","[0.5, 0.0, 0.79, 1.0, 0.65]","[0.6, 0.33, 0.63, 0.48, 0.6]"
The average adult human body contains between 5 and 6 liters of blood.,The average adult human body does not contain between 5 and 6 liters of blood.,The average adult human body contains exactly 5.5 liters of blood.,The average adult human body contains blood.,0.35,0.52,0.586,0.532,"[0.0, 0.6, 0.5, 0.0, 0.65]","[0.8, 0.0, 0.75, 0.4, 0.65]","[0.4, 0.75, 0.43, 0.85, 0.5]","[0.4, 0.0, 0.96, 0.5, 0.8]"
Most adults in the United States have a social media account.,Most adults in the United States do not have a social media account.,Most adults in the United States have a social media account that they actively use at least once a week.,Most adults in the United States use the internet.,0.396,0.614,0.41,0.49000000000000005,"[0.3, 0.5, 0.78, 0.0, 0.4]","[0.7, 0.22, 0.7, 0.8, 0.65]","[0.7, 0.75, 0.0, 0.0, 0.6]","[0.7, 0.9, 0.0, 0.0, 0.85]"
Most people have more than 100 followers on Instagram.,Most people do not have more than 100 followers on Instagram.,"Most people have more than 100 followers on Instagram, with at least 50 of those followers being active users.",Most people have followers on Instagram.,0.48,0.4640000000000001,0.51,0.5740000000000001,"[0.5, 0.0, 0.7, 0.5, 0.7]","[0.7, 0.67, 0.0, 0.0, 0.95]","[0.75, 0.25, 0.95, 0.0, 0.6]","[0.75, 0.8, 0.82, 0.0, 0.5]"
More than half of the world's population lives in urban areas.,Less than half of the world's population does not live in urban areas.,"More than half of the world's population lives in urban areas with a population density of over 1,000 people per square kilometer.",A significant portion of the world's population lives in urban areas.,0.348,0.5,0.63,0.33399999999999996,"[0.99, 0.0, 0.0, 0.0, 0.75]","[0.63, 0.37, 1.0, 0.0, 0.5]","[0.5, 0.5, 0.7, 0.7, 0.75]","[0.45, 0.72, 0.5, 0.0, 0.0]"
More than 50% of adults worldwide own a smartphone.,Less than or equal to 50% of adults worldwide do not own a smartphone.,More than 50% of adults worldwide own a smartphone that supports 5G connectivity.,More than 50% of adults worldwide own a mobile device.,0.45199999999999996,0.5900000000000001,0.48999999999999994,0.5199999999999999,"[0.4, 0.0, 0.5, 0.86, 0.5]","[0.75, 0.47, 0.43, 0.5, 0.8]","[0.5, 0.75, 0.6, 0.3, 0.3]","[0.7, 0.7, 0.7, 0.5, 0.0]"
